observation_id,timestamp,elapsed_min,latitude,longitude,position_accuracy_m,speed_kmph,current_section_id,current_station_id,distance_from_origin_km,distance_to_next_station_km,distance_to_destination_km,current_delay_min,station_event,signal_status,congestion_level
OBS_00015,6:52:00,7,28.655048,77.324772,6.5,102,SEC_NDLS_GZB,,12.04,12.96,301.96,-6.49,,CLEAR,LOW
OBS_00016,6:52:30,7.5,28.655917,77.332416,6.4,105.2,SEC_NDLS_GZB,,12.92,12.08,301.08,-6.97,,CLEAR,LOW
OBS_00017,6:53:00,8,28.656793,77.340118,5.6,105.9,SEC_NDLS_GZB,,13.8,11.2,300.2,-7.46,,CLEAR,LOW
OBS_00018,6:53:30,8.5,28.657681,77.347931,5.1,107.5,SEC_NDLS_GZB,,14.7,10.3,299.3,-7.96,,CLEAR,LOW
OBS_00019,6:54:00,9,28.658548,77.355552,6.5,104.8,SEC_NDLS_GZB,,15.57,9.43,298.43,-8.44,,CLEAR,LOW
OBS_00020,6:54:30,9.5,28.659418,77.363203,6.6,105.2,SEC_NDLS_GZB,,16.45,8.55,297.55,-8.92,,CLEAR,LOW
OBS_00021,6:55:00,10,28.660285,77.370835,6.1,105,SEC_NDLS_GZB,,17.32,7.68,296.68,-9.4,,CLEAR,LOW
OBS_00022,6:55:30,10.5,28.661126,77.378225,4.7,101.7,SEC_NDLS_GZB,,18.17,6.83,295.83,-9.85,,CLEAR,LOW
OBS_00023,6:56:00,11,28.661979,77.385727,4.2,103.2,SEC_NDLS_GZB,,19.03,5.97,294.97,-10.31,,CLEAR,LOW
OBS_00024,6:56:30,11.5,28.662829,77.393202,4.3,102.8,SEC_NDLS_GZB,,19.89,5.11,294.11,-10.77,,CLEAR,LOW
OBS_00025,6:57:00,12,28.663681,77.400698,5.9,103.1,SEC_NDLS_GZB,,20.75,4.25,293.25,-11.24,,CLEAR,LOW
OBS_00026,6:57:30,12.5,28.664538,77.408233,5.1,103.7,SEC_NDLS_GZB,,21.61,3.39,292.39,-11.7,,CLEAR,LOW
OBS_00027,6:58:00,13,28.665387,77.415698,4.8,102.7,SEC_NDLS_GZB,,22.47,2.53,291.53,-12.16,,CLEAR,LOW
OBS_00028,6:58:30,13.5,28.666273,77.423494,5.9,107.2,SEC_NDLS_GZB,,23.36,1.64,290.64,-12.66,,CLEAR,LOW
OBS_00029,6:59:00,14,28.667143,77.431141,4.5,105.2,SEC_NDLS_GZB,,24.24,0.76,289.76,-13.15,,CLEAR,LOW
OBS_00030,6:59:30,14.5,28.6679,77.4378,4.5,0,,GZB,25,47,289,-13.5,ARRIVED,CLEAR,LOW
OBS_00031,7:00:00,15,28.6679,77.4378,3.8,0,,GZB,25,47,289,-15,,CLEAR,LOW
OBS_00032,7:00:30,15.5,28.6679,77.4378,5,0,,GZB,25,47,289,-14.5,,CLEAR,LOW
OBS_00033,7:01:00,16,28.6679,77.4378,4.3,0,,GZB,25,47,289,-14,,CLEAR,LOW
OBS_00034,7:01:30,16.5,28.6679,77.4378,4.1,0,,GZB,25,47,289,-13.5,DEPARTED,CLEAR,LOW
OBS_00035,7:02:00,17,28.674278,77.443171,6.5,115.3,SEC_GZB_MTC,,25.96,46.04,288.04,-13.82,,CLEAR,LOW
OBS_00036,7:02:30,17.5,28.680691,77.448571,4.7,115.9,SEC_GZB_MTC,,26.93,45.07,287.07,-14.14,,CLEAR,LOW
OBS_00037,7:03:00,18,28.686822,77.453733,4.9,110.8,SEC_GZB_MTC,,27.85,44.15,286.15,-14.43,,CLEAR,LOW
OBS_00038,7:03:30,18.5,28.693043,77.458971,4.6,112.4,SEC_GZB_MTC,,28.79,43.21,285.21,-14.72,,CLEAR,LOW
OBS_00039,7:04:00,19,28.699519,77.464424,6.6,117,SEC_GZB_MTC,,29.76,42.24,284.24,-15.05,,CLEAR,LOW
OBS_00040,7:04:30,19.5,28.705757,77.469677,6,112.7,SEC_GZB_MTC,,30.7,41.3,283.3,-15.35,,CLEAR,LOW
OBS_00041,7:05:00,20,28.712026,77.474956,6.7,113.3,SEC_GZB_MTC,,31.65,40.35,282.35,-15.66,,CLEAR,LOW
OBS_00042,7:05:30,20.5,28.718319,77.480255,4.8,113.7,SEC_GZB_MTC,,32.59,39.41,281.41,-15.96,,CLEAR,LOW
OBS_00043,7:06:00,21,28.724531,77.485486,5.7,112.3,SEC_GZB_MTC,,33.53,38.47,280.47,-16.26,,CLEAR,LOW
OBS_00044,7:06:30,21.5,28.73075,77.490722,5.8,112.4,SEC_GZB_MTC,,34.46,37.54,279.54,-16.56,,CLEAR,LOW
OBS_00045,7:07:00,22,28.737209,77.496161,5.2,116.7,SEC_GZB_MTC,,35.44,36.56,278.56,-16.88,,CLEAR,LOW
OBS_00046,7:07:30,22.5,28.743411,77.501383,7,112.1,SEC_GZB_MTC,,36.37,35.63,277.63,-17.18,,CLEAR,LOW
OBS_00047,7:08:00,23,28.749723,77.506698,4.3,114.1,SEC_GZB_MTC,,37.32,34.68,276.68,-17.49,,CLEAR,LOW
OBS_00048,7:08:30,23.5,28.75586,77.511866,4.3,110.9,SEC_GZB_MTC,,38.25,33.75,275.75,-17.77,,CLEAR,LOW
OBS_00049,7:09:00,24,28.762217,77.517218,6.4,114.9,SEC_GZB_MTC,,39.2,32.8,274.8,-18.09,,CLEAR,LOW
OBS_00050,7:09:30,24.5,28.768496,77.522505,4.2,113.5,SEC_GZB_MTC,,40.15,31.85,273.85,-18.39,,CLEAR,LOW
OBS_00051,7:10:00,25,28.774759,77.52778,7,113.2,SEC_GZB_MTC,,41.09,30.91,272.91,-18.7,,CLEAR,LOW
OBS_00052,7:10:30,25.5,28.781079,77.533101,6.9,114.2,SEC_GZB_MTC,,42.04,29.96,271.96,-19.01,,CLEAR,LOW
OBS_00053,7:11:00,26,28.787524,77.538528,4,116.5,SEC_GZB_MTC,,43.01,28.99,270.99,-19.33,,CLEAR,LOW
OBS_00054,7:11:30,26.5,28.793916,77.54391,6,115.5,SEC_GZB_MTC,,43.98,28.02,270.02,-19.65,,CLEAR,LOW
OBS_00055,7:12:00,27,28.800238,77.549234,4.8,114.3,SEC_GZB_MTC,,44.93,27.07,269.07,-19.96,,CLEAR,LOW
OBS_00056,7:12:30,27.5,28.8066,77.554591,4.3,115,SEC_GZB_MTC,,45.89,26.11,268.11,-20.28,,CLEAR,LOW
OBS_00057,7:13:00,28,28.812884,77.559882,5.4,113.6,SEC_GZB_MTC,,46.83,25.17,267.17,-20.58,,CLEAR,LOW
OBS_00058,7:13:30,28.5,28.819364,77.565338,6.6,117.1,SEC_GZB_MTC,,47.81,24.19,266.19,-20.91,,CLEAR,LOW
OBS_00059,7:14:00,29,28.825583,77.570575,5.5,112.4,SEC_GZB_MTC,,48.75,23.25,265.25,-21.21,,CLEAR,LOW
OBS_00060,7:14:30,29.5,28.831769,77.575784,6.7,111.8,SEC_GZB_MTC,,49.68,22.32,264.32,-21.5,,CLEAR,LOW
OBS_00061,7:15:00,30,28.838218,77.581214,4.9,116.5,SEC_GZB_MTC,,50.65,21.35,263.35,-21.83,,CLEAR,LOW
OBS_00062,7:15:30,30.5,28.844579,77.58657,5.8,115,SEC_GZB_MTC,,51.61,20.39,262.39,-22.14,,CLEAR,LOW
OBS_00063,7:16:00,31,28.850756,77.591772,6.3,111.6,SEC_GZB_MTC,,52.54,19.46,261.46,-22.44,,CLEAR,LOW
OBS_00064,7:16:30,31.5,28.857079,77.597096,6.3,114.3,SEC_GZB_MTC,,53.49,18.51,260.51,-22.75,,CLEAR,LOW
OBS_00065,7:17:00,32,28.863399,77.602418,4,114.2,SEC_GZB_MTC,,54.44,17.56,259.56,-23.06,,CLEAR,LOW
OBS_00066,7:17:30,32.5,28.869641,77.607674,4.1,112.8,SEC_GZB_MTC,,55.38,16.62,258.62,-23.36,,CLEAR,LOW
OBS_00067,7:18:00,33,28.876112,77.613122,6.6,116.9,SEC_GZB_MTC,,56.36,15.64,257.64,-23.69,,CLEAR,LOW
OBS_00068,7:18:30,33.5,28.882546,77.61854,4.9,116.3,SEC_GZB_MTC,,57.32,14.68,256.68,-24.01,,CLEAR,LOW
OBS_00069,7:19:00,34,28.888687,77.623711,6.6,111,SEC_GZB_MTC,,58.25,13.75,255.75,-24.3,,CLEAR,LOW
OBS_00070,7:19:30,34.5,28.895165,77.629165,4.3,117.1,SEC_GZB_MTC,,59.22,12.78,254.78,-24.63,,CLEAR,LOW
OBS_00071,7:20:00,35,28.901468,77.634473,4.2,113.9,SEC_GZB_MTC,,60.17,11.83,253.83,-24.93,,CLEAR,LOW
OBS_00072,7:20:30,35.5,28.907875,77.639868,6.3,115.8,SEC_GZB_MTC,,61.14,10.86,252.86,-25.26,,CLEAR,LOW
OBS_00073,7:21:00,36,28.914042,77.645061,5.4,111.5,SEC_GZB_MTC,,62.07,9.93,251.93,-25.55,,CLEAR,LOW
OBS_00074,7:21:30,36.5,28.92037,77.650389,4.8,114.3,SEC_GZB_MTC,,63.02,8.98,250.98,-25.86,,CLEAR,LOW
OBS_00075,7:22:00,37,28.926819,77.65582,5.3,116.5,SEC_GZB_MTC,,63.99,8.01,250.01,-26.18,,CLEAR,LOW
OBS_00076,7:22:30,37.5,28.933018,77.66104,5.6,112,SEC_GZB_MTC,,64.92,7.08,249.08,-26.48,,CLEAR,LOW
OBS_00077,7:23:00,38,28.939414,77.666425,4.6,115.6,SEC_GZB_MTC,,65.89,6.11,248.11,-26.8,,CLEAR,LOW
OBS_00078,7:23:30,38.5,28.945651,77.671677,7,112.7,SEC_GZB_MTC,,66.83,5.17,247.17,-27.1,,CLEAR,LOW
OBS_00079,7:24:00,39,28.952016,77.677036,5.3,115,SEC_GZB_MTC,,67.79,4.21,246.21,-27.41,,CLEAR,LOW
OBS_00080,7:24:30,39.5,28.958331,77.682354,4.4,114.1,SEC_GZB_MTC,,68.74,3.26,245.26,-27.72,,CLEAR,LOW
OBS_00081,7:25:00,40,28.964535,77.687578,5,112.1,SEC_GZB_MTC,,69.67,2.33,244.33,-28.02,,CLEAR,LOW
OBS_00082,7:25:30,40.5,28.970877,77.692918,4.7,114.6,SEC_GZB_MTC,,70.63,1.37,243.37,-28.33,,CLEAR,LOW
OBS_00083,7:26:00,41,28.97708,77.698141,4.2,112.1,SEC_GZB_MTC,,71.56,0.44,242.44,-28.63,,CLEAR,LOW
OBS_00084,7:26:30,41.5,28.98,77.7006,4.7,0,,MTC,72,56,242,-28.5,ARRIVED,CLEAR,LOW
OBS_00085,7:27:00,42,28.98,77.7006,4.8,0,,MTC,72,56,242,-31,,CLEAR,LOW
OBS_00086,7:27:30,42.5,28.98,77.7006,4.7,0,,MTC,72,56,242,-30.5,,CLEAR,LOW
OBS_00087,7:28:00,43,28.98,77.7006,3.1,0,,MTC,72,56,242,-30,,CLEAR,LOW
OBS_00088,7:28:30,43.5,28.98,77.7006,3.5,0,,MTC,72,56,242,-29.5,,CLEAR,LOW
OBS_00089,7:29:00,44,28.98,77.7006,4.3,0,,MTC,72,56,242,-29,,CLEAR,LOW
OBS_00090,7:29:30,44.5,28.98,77.7006,3.4,0,,MTC,72,56,242,-28.5,DEPARTED,CLEAR,LOW
OBS_00091,7:30:00,45,28.987493,77.70072,6.8,102.2,SEC_MTC_MOZ,,72.85,55.15,241.15,-28.68,,CLEAR,LOW
OBS_00092,7:30:30,45.5,28.995187,77.700844,5.4,104.9,SEC_MTC_MOZ,,73.73,54.27,240.27,-28.89,,CLEAR,LOW
OBS_00093,7:31:00,46,29.00298,77.700968,6.4,106.3,SEC_MTC_MOZ,,74.61,53.39,239.39,-29.1,,CLEAR,LOW
OBS_00094,7:31:30,46.5,29.010499,77.701089,4.3,102.6,SEC_MTC_MOZ,,75.47,52.53,238.53,-29.29,,CLEAR,LOW
OBS_00095,7:32:00,47,29.018129,77.701211,5.3,104.1,SEC_MTC_MOZ,,76.33,51.67,237.67,-29.48,,CLEAR,LOW
OBS_00096,7:32:30,47.5,29.025776,77.701334,6.2,104.3,SEC_MTC_MOZ,,77.2,50.8,236.8,-29.68,,CLEAR,LOW
OBS_00097,7:33:00,48,29.033517,77.701458,7,105.6,SEC_MTC_MOZ,,78.08,49.92,235.92,-29.89,,CLEAR,LOW
OBS_00098,7:33:30,48.5,29.040995,77.701578,5.2,102,SEC_MTC_MOZ,,78.93,49.07,235.07,-30.07,,CLEAR,LOW
OBS_00099,7:34:00,49,29.048583,77.7017,6.6,103.5,SEC_MTC_MOZ,,79.8,48.2,234.2,-30.26,,CLEAR,LOW
OBS_00100,7:34:30,49.5,29.056129,77.701821,4.6,102.9,SEC_MTC_MOZ,,80.65,47.35,233.35,-30.45,,CLEAR,LOW
OBS_00101,7:35:00,50,29.063767,77.701943,5.3,104.2,SEC_MTC_MOZ,,81.52,46.48,232.48,-30.65,,CLEAR,LOW
OBS_00102,7:35:30,50.5,29.071327,77.702064,4.7,103.1,SEC_MTC_MOZ,,82.38,45.62,231.62,-30.84,,CLEAR,LOW
OBS_00103,7:36:00,51,29.079183,77.70219,5.3,107.2,SEC_MTC_MOZ,,83.27,44.73,230.73,-31.06,,CLEAR,LOW
OBS_00104,7:36:30,51.5,29.087011,77.702316,5.7,106.8,SEC_MTC_MOZ,,84.16,43.84,229.84,-31.27,,CLEAR,LOW
OBS_00105,7:37:00,52,29.094466,77.702435,7,101.7,SEC_MTC_MOZ,,85.01,42.99,228.99,-31.45,,CLEAR,LOW
OBS_00106,7:37:30,52.5,29.102283,77.702561,6.9,106.6,SEC_MTC_MOZ,,85.9,42.1,228.1,-31.67,,CLEAR,LOW
OBS_00107,7:38:00,53,29.11014,77.702687,6.5,107.2,SEC_MTC_MOZ,,86.79,41.21,227.21,-31.89,,CLEAR,LOW
OBS_00108,7:38:30,53.5,29.117649,77.702807,5.5,102.4,SEC_MTC_MOZ,,87.65,40.35,226.35,-32.07,,CLEAR,LOW
OBS_00109,7:39:00,54,29.125179,77.702928,5.2,102.7,SEC_MTC_MOZ,,88.5,39.5,225.5,-32.26,,CLEAR,LOW
OBS_00110,7:39:30,54.5,29.132638,77.703047,5.1,101.7,SEC_MTC_MOZ,,89.35,38.65,224.65,-32.44,,CLEAR,LOW
OBS_00111,7:40:00,55,29.140523,77.703174,4.8,107.5,SEC_MTC_MOZ,,90.24,37.76,223.76,-32.66,,CLEAR,LOW
OBS_00112,7:40:30,55.5,29.148315,77.703299,5.4,106.3,SEC_MTC_MOZ,,91.13,36.87,222.87,-32.87,,CLEAR,LOW
OBS_00113,7:41:00,56,29.155941,77.703421,6.9,104,SEC_MTC_MOZ,,92,36,222,-33.07,,CLEAR,LOW
OBS_00114,7:41:30,56.5,29.163831,77.703548,5.7,107.6,SEC_MTC_MOZ,,92.89,35.11,221.11,-33.29,,CLEAR,LOW
OBS_00115,7:42:00,57,29.171593,77.703672,4.5,105.9,SEC_MTC_MOZ,,93.78,34.22,220.22,-33.5,,CLEAR,LOW
OBS_00116,7:42:30,57.5,29.179161,77.703793,6.9,103.2,SEC_MTC_MOZ,,94.64,33.36,219.36,-33.69,,CLEAR,LOW
OBS_00117,7:43:00,58,29.18686,77.703917,5.6,105,SEC_MTC_MOZ,,95.51,32.49,218.49,-33.89,,CLEAR,LOW
OBS_00118,7:43:30,58.5,29.194635,77.704041,4.2,106.1,SEC_MTC_MOZ,,96.4,31.6,217.6,-34.1,,CLEAR,LOW
OBS_00119,7:44:00,59,29.202336,77.704165,5.5,105,SEC_MTC_MOZ,,97.27,30.73,216.73,-34.31,,CLEAR,LOW
OBS_00120,7:44:30,59.5,29.21016,77.70429,4.5,106.7,SEC_MTC_MOZ,,98.16,29.84,215.84,-34.52,,CLEAR,LOW
OBS_00121,7:45:00,60,29.218033,77.704417,4.2,107.4,SEC_MTC_MOZ,,99.05,28.95,214.95,-34.74,,CLEAR,LOW
OBS_00122,7:45:30,60.5,29.225551,77.704537,5.8,102.5,SEC_MTC_MOZ,,99.91,28.09,214.09,-34.93,,CLEAR,LOW
OBS_00123,7:46:00,61,29.233293,77.704661,4.7,105.6,SEC_MTC_MOZ,,100.79,27.21,213.21,-35.13,,CLEAR,LOW
OBS_00124,7:46:30,61.5,29.24078,77.704781,6.7,102.1,SEC_MTC_MOZ,,101.64,26.36,212.36,-35.32,,CLEAR,LOW
OBS_00125,7:47:00,62,29.248325,77.704902,5.8,102.9,SEC_MTC_MOZ,,102.5,25.5,211.5,-35.51,,CLEAR,LOW
OBS_00126,7:47:30,62.5,29.256042,77.705026,5.3,105.2,SEC_MTC_MOZ,,103.37,24.63,210.63,-35.71,,CLEAR,LOW
OBS_00127,7:48:00,63,29.263742,77.70515,5.6,105,SEC_MTC_MOZ,,104.25,23.75,209.75,-35.92,,CLEAR,LOW
OBS_00128,7:48:30,63.5,29.271604,77.705276,4.6,107.2,SEC_MTC_MOZ,,105.14,22.86,208.86,-36.13,,CLEAR,LOW
OBS_00129,7:49:00,64,29.279365,77.7054,4.7,105.9,SEC_MTC_MOZ,,106.03,21.97,207.97,-36.34,,CLEAR,LOW
OBS_00130,7:49:30,64.5,29.286979,77.705522,6,103.8,SEC_MTC_MOZ,,106.89,21.11,207.11,-36.54,,CLEAR,LOW
OBS_00131,7:50:00,65,29.294549,77.705644,4.9,103.2,SEC_MTC_MOZ,,107.75,20.25,206.25,-36.73,,CLEAR,LOW
OBS_00132,7:50:30,65.5,29.302326,77.705768,4.2,106.1,SEC_MTC_MOZ,,108.64,19.36,205.36,-36.94,,CLEAR,LOW
OBS_00133,7:51:00,66,29.309969,77.705891,7,104.2,SEC_MTC_MOZ,,109.5,18.5,204.5,-37.14,,CLEAR,LOW
OBS_00134,7:51:30,66.5,29.317859,77.706017,4.2,107.6,SEC_MTC_MOZ,,110.4,17.6,203.6,-37.36,,CLEAR,LOW
OBS_00135,7:52:00,67,29.325389,77.706138,4.8,102.7,SEC_MTC_MOZ,,111.26,16.74,202.74,-37.55,,CLEAR,LOW
OBS_00136,7:52:30,67.5,29.333249,77.706264,6.6,107.2,SEC_MTC_MOZ,,112.15,15.85,201.85,-37.76,,CLEAR,LOW
OBS_00137,7:53:00,68,29.341086,77.70639,5.1,106.9,SEC_MTC_MOZ,,113.04,14.96,200.96,-37.98,,CLEAR,LOW
OBS_00138,7:53:30,68.5,29.34859,77.70651,6.5,102.4,SEC_MTC_MOZ,,113.89,14.11,200.11,-38.16,,CLEAR,LOW
OBS_00139,7:54:00,69,29.356345,77.706634,5.8,105.8,SEC_MTC_MOZ,,114.78,13.22,199.22,-38.37,,CLEAR,LOW
OBS_00140,7:54:30,69.5,29.364231,77.706761,6,107.6,SEC_MTC_MOZ,,115.67,12.33,198.33,-38.59,,CLEAR,LOW
OBS_00141,7:55:00,70,29.371667,77.70688,6.5,101.4,SEC_MTC_MOZ,,116.52,11.48,197.48,-38.77,,CLEAR,LOW
OBS_00142,7:55:30,70.5,29.379236,77.707001,6,103.2,SEC_MTC_MOZ,,117.38,10.62,196.62,-38.96,,CLEAR,LOW
OBS_00143,7:56:00,71,29.3871,77.707127,4.4,107.3,SEC_MTC_MOZ,,118.27,9.73,195.73,-39.18,,CLEAR,LOW
OBS_00144,7:56:30,71.5,29.394585,77.707247,4.3,102.1,SEC_MTC_MOZ,,119.12,8.88,194.88,-39.37,,CLEAR,LOW
OBS_00145,7:57:00,72,29.402271,77.707371,4.8,104.8,SEC_MTC_MOZ,,120,8,194,-39.57,,CLEAR,LOW
OBS_00146,7:57:30,72.5,29.409981,77.707494,6.2,105.2,SEC_MTC_MOZ,,120.87,7.13,193.13,-39.77,,CLEAR,LOW
OBS_00147,7:58:00,73,29.417507,77.707615,5.9,102.6,SEC_MTC_MOZ,,121.73,6.27,192.27,-39.96,,CLEAR,LOW
OBS_00148,7:58:30,73.5,29.42506,77.707736,5.5,103,SEC_MTC_MOZ,,122.59,5.41,191.41,-40.15,,CLEAR,LOW
OBS_00149,7:59:00,74,29.432908,77.707862,6.5,107,SEC_MTC_MOZ,,123.48,4.52,190.52,-40.37,,CLEAR,LOW
OBS_00150,7:59:30,74.5,29.440382,77.707982,5.3,101.9,SEC_MTC_MOZ,,124.33,3.67,189.67,-40.55,,CLEAR,LOW
OBS_00151,8:00:00,75,29.447941,77.708103,4,103.1,SEC_MTC_MOZ,,125.19,2.81,188.81,-40.74,,CLEAR,LOW
OBS_00152,8:00:30,75.5,29.455728,77.708228,5.9,106.2,SEC_MTC_MOZ,,126.07,1.93,187.93,-40.95,,CLEAR,LOW
OBS_00153,8:01:00,76,29.46328,77.708349,6.2,103,SEC_MTC_MOZ,,126.93,1.07,187.07,-41.14,,CLEAR,LOW
OBS_00154,8:01:30,76.5,29.470966,77.708472,5.3,104.8,SEC_MTC_MOZ,,127.8,0.2,186.2,-41.34,,CLEAR,LOW
OBS_00155,8:02:00,77,29.4727,77.7085,4.2,0,,MOZ,128,59,186,-41,ARRIVED,CLEAR,LOW
OBS_00156,8:02:30,77.5,29.4727,77.7085,4.8,0,,MOZ,128,59,186,-42.5,,CLEAR,LOW
OBS_00157,8:03:00,78,29.4727,77.7085,4.8,0,,MOZ,128,59,186,-42,,CLEAR,LOW
OBS_00158,8:03:30,78.5,29.4727,77.7085,4.1,0,,MOZ,128,59,186,-41.5,,CLEAR,LOW
OBS_00159,8:04:00,79,29.4727,77.7085,4.7,0,,MOZ,128,59,186,-41,DEPARTED,CLEAR,LOW
OBS_00160,8:04:30,79.5,29.479325,77.706309,4.4,95.5,SEC_MOZ_SRE,,128.8,58.2,185.2,-41.2,,CLEAR,LOW
OBS_00161,8:05:00,80,29.48577,77.704177,4.9,92.9,SEC_MOZ_SRE,,129.57,57.43,184.43,-41.38,,CLEAR,LOW
OBS_00162,8:05:30,80.5,29.49252,77.701944,6.4,97.3,SEC_MOZ_SRE,,130.38,56.62,183.62,-41.6,,CLEAR,LOW
OBS_00163,8:06:00,81,29.499255,77.699717,6.7,97.1,SEC_MOZ_SRE,,131.19,55.81,182.81,-41.81,,CLEAR,LOW
OBS_00164,8:06:30,81.5,29.505733,77.697574,4.7,93.3,SEC_MOZ_SRE,,131.97,55.03,182.03,-42,,CLEAR,LOW
OBS_00165,8:07:00,82,29.512168,77.695446,6.3,92.7,SEC_MOZ_SRE,,132.74,54.26,181.26,-42.18,,CLEAR,LOW
OBS_00166,8:07:30,82.5,29.518912,77.693215,5.2,97.2,SEC_MOZ_SRE,,133.55,53.45,180.45,-42.39,,CLEAR,LOW
OBS_00167,8:08:00,83,29.525552,77.691019,4.5,95.7,SEC_MOZ_SRE,,134.35,52.65,179.65,-42.59,,CLEAR,LOW
OBS_00168,8:08:30,83.5,29.532314,77.688782,6.6,97.5,SEC_MOZ_SRE,,135.16,51.84,178.84,-42.81,,CLEAR,LOW
OBS_00169,8:09:00,84,29.539095,77.686539,6.4,97.7,SEC_MOZ_SRE,,135.97,51.03,178.03,-43.03,,CLEAR,LOW
OBS_00170,8:09:30,84.5,29.545838,77.684309,4.1,97.2,SEC_MOZ_SRE,,136.78,50.22,177.22,-43.24,,CLEAR,LOW
OBS_00171,8:10:00,85,29.552524,77.682098,5,96.3,SEC_MOZ_SRE,,137.59,49.41,176.41,-43.45,,CLEAR,LOW
OBS_00172,8:10:30,85.5,29.559287,77.679861,6.4,97.5,SEC_MOZ_SRE,,138.4,48.6,175.6,-43.66,,CLEAR,LOW
OBS_00173,8:11:00,86,29.566023,77.677633,6.4,97.1,SEC_MOZ_SRE,,139.21,47.79,174.79,-43.88,,CLEAR,LOW
OBS_00174,8:11:30,86.5,29.572523,77.675483,6.4,93.7,SEC_MOZ_SRE,,139.99,47.01,174.01,-44.07,,CLEAR,LOW
OBS_00175,8:12:00,87,29.57896,77.673354,6.6,92.8,SEC_MOZ_SRE,,140.76,46.24,173.24,-44.25,,CLEAR,LOW
OBS_00176,8:12:30,87.5,29.585695,77.671126,4.7,97,SEC_MOZ_SRE,,141.57,45.43,172.43,-44.46,,CLEAR,LOW
OBS_00177,8:13:00,88,29.592412,77.668905,5.4,96.8,SEC_MOZ_SRE,,142.38,44.62,171.62,-44.67,,CLEAR,LOW
OBS_00178,8:13:30,88.5,29.598927,77.66675,6.4,93.9,SEC_MOZ_SRE,,143.16,43.84,170.84,-44.86,,CLEAR,LOW
OBS_00179,8:14:00,89,29.605412,77.664605,4.1,93.4,SEC_MOZ_SRE,,143.94,43.06,170.06,-45.05,,CLEAR,LOW
OBS_00180,8:14:30,89.5,29.611883,77.662465,5,93.3,SEC_MOZ_SRE,,144.71,42.29,169.29,-45.23,,CLEAR,LOW
OBS_00181,8:15:00,90,29.618619,77.660236,6.9,97.1,SEC_MOZ_SRE,,145.52,41.48,168.48,-45.44,,CLEAR,LOW
OBS_00182,8:15:30,90.5,29.625124,77.658085,5.9,93.7,SEC_MOZ_SRE,,146.3,40.7,167.7,-45.63,,CLEAR,LOW
OBS_00183,8:16:00,91,29.631677,77.655918,6.9,94.4,SEC_MOZ_SRE,,147.09,39.91,166.91,-45.83,,CLEAR,LOW
OBS_00184,8:16:30,91.5,29.638283,77.653732,6.8,95.2,SEC_MOZ_SRE,,147.88,39.12,166.12,-46.03,,CLEAR,LOW
OBS_00185,8:17:00,92,29.644724,77.651602,6.9,92.8,SEC_MOZ_SRE,,148.66,38.34,165.34,-46.21,,CLEAR,LOW
OBS_00186,8:17:30,92.5,29.651189,77.649464,6.9,93.2,SEC_MOZ_SRE,,149.43,37.57,164.57,-46.39,,CLEAR,LOW
OBS_00187,8:18:00,93,29.657688,77.647314,4.3,93.7,SEC_MOZ_SRE,,150.22,36.78,163.78,-46.58,,CLEAR,LOW
