journey_id,train_id,train_type,timestamp,date,hour,day_of_week,is_weekend,section_id,from_station_id,to_station_id,section_distance_km,scheduled_running_time_min,max_sectional_speed_kmph,entry_speed_kmph,entry_delay_min,previous_section_delay_min,congestion_level,weather_condition,visibility_km,speed_restriction_active,restriction_speed_kmph,unscheduled_halt_active,unscheduled_halt_min,recovery_applied_min,historical_section_median_min,historical_section_p90_min,actual_section_running_time_min,section_delay_delta_min,exit_delay_min,data_source
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T15:46:48,2026-07-02,15,3,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,87.23,-3.65,-4.2,LOW,RAIN,2.25,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-9.65,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T16:23:48,2026-07-02,16,3,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,90.94,-9.65,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-16.4,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T17:05:03,2026-07-02,17,3,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,44.97,-16.4,-6.75,LOW,CLEAR,10.0,1,50.0,0,0.0,0.0,53.56,65.0,78.98,26.98,10.58,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T18:27:01,2026-07-02,18,3,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,81.49,10.58,26.98,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.81,-4.19,6.39,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T18:57:50,2026-07-02,18,3,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,71.86,6.39,-4.19,HIGH,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,54.21,9.21,15.6,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T19:55:03,2026-07-02,19,3,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,46.99,15.6,9.21,LOW,CLEAR,10.0,0,,0,0.0,6.24,70.04,85.0,57.8,-10.2,5.4,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-02T22:25:00,2026-07-02,22,3,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,87.17,0.57,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-3.63,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-02T22:51:48,2026-07-02,22,3,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,98.66,-3.63,-4.2,LOW,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-9.63,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-02T23:28:48,2026-07-02,23,3,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,85.64,-9.63,-6.0,LOW,RAIN,4.31,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-16.38,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-03T00:10:03,2026-07-02,0,3,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,78.99,-16.38,-6.75,HIGH,RAIN,4.65,0,,0,0.0,0.0,53.56,65.0,67.57,15.57,-0.81,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-03T01:20:37,2026-07-02,1,3,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,88.64,-0.81,15.57,LOW,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.2,-4.8,-5.61,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-03T01:50:49,2026-07-02,1,3,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,69.63,-5.61,-4.8,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-12.36,SYNTHETIC_DATASET
JRN_20260702_14041,14041,EXPRESS,2026-07-03T02:32:04,2026-07-02,2,3,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,53.43,-12.36,-6.75,LOW,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,57.8,-10.2,-22.56,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T11:15:00,2026-07-02,11,3,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,96.06,0.64,0.0,HIGH,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-3.56,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T11:41:48,2026-07-02,11,3,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,93.55,-3.56,-4.2,LOW,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-9.56,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T12:18:48,2026-07-02,12,3,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,95.96,-9.56,-6.0,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,40.69,-4.31,-13.87,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T13:02:29,2026-07-02,13,3,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,80.6,-13.87,-4.31,MEDIUM,RAIN,2.58,0,,0,0.0,0.0,53.56,65.0,53.19,1.19,-12.68,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T13:58:40,2026-07-02,13,3,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,78.06,-12.68,1.19,LOW,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.2,-4.8,-17.48,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T14:28:52,2026-07-02,14,3,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,62.37,-17.48,-4.8,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-24.23,SYNTHETIC_DATASET
JRN_20260702_14309,14309,PASSENGER,2026-07-02T15:10:07,2026-07-02,15,3,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,50.57,-24.23,-6.75,LOW,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,57.8,-10.2,-34.43,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T06:45:00,2026-07-03,6,4,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,95.17,0.13,0.0,HIGH,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-4.07,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T07:11:48,2026-07-03,7,4,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,105.54,-4.07,-4.2,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-10.07,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T07:48:48,2026-07-03,7,4,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,90.13,-10.07,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-16.82,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T08:30:03,2026-07-03,8,4,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,84.81,-16.82,-6.75,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,53.56,65.0,48.24,-3.76,-20.58,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T09:21:17,2026-07-03,9,4,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,39.2,-20.58,-3.76,MEDIUM,CLEAR,10.0,1,45.0,0,0.0,0.0,32.96,40.0,61.11,29.11,8.53,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T10:25:24,2026-07-03,10,4,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,71.57,8.53,29.11,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,42.43,-2.57,5.96,SYNTHETIC_DATASET
JRN_20260703_12017,12017,SHATABDI,2026-07-03T11:10:49,2026-07-03,11,4,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,50.92,5.96,-2.57,LOW,CLEAR,10.0,0,,0,0.0,2.38,70.04,85.0,57.8,-10.2,-4.24,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T15:20:00,2026-07-03,15,4,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,39.09,1.86,0.0,LOW,CLEAR,10.0,1,45.0,0,0.0,0.0,28.84,35.0,37.72,9.72,11.58,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T16:00:43,2026-07-03,16,4,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,98.02,11.58,9.72,LOW,CLEAR,10.0,0,,0,0.0,4.63,41.2,50.0,34.0,-6.0,5.58,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T16:37:43,2026-07-03,16,4,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,95.71,5.58,-6.0,LOW,CLEAR,10.0,0,,0,0.0,2.23,46.35,56.25,38.25,-6.75,-1.17,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T17:18:58,2026-07-03,17,4,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,84.02,-1.17,-6.75,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,53.56,65.0,48.21,-3.79,-4.96,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T18:10:10,2026-07-03,18,4,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,80.78,-4.96,-3.79,HIGH,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,35.01,3.01,-1.95,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T18:48:11,2026-07-03,18,4,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,65.81,-1.95,3.01,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-8.7,SYNTHETIC_DATASET
JRN_20260703_12055,12055,SUPERFAST,2026-07-03T19:29:26,2026-07-03,19,4,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,52.7,-8.7,-6.75,HIGH,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,87.53,19.53,10.83,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-03T22:25:00,2026-07-03,22,4,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,87.63,0.33,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-3.87,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-03T22:51:48,2026-07-03,22,4,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,95.27,-3.87,-4.2,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-9.87,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-03T23:28:48,2026-07-03,23,4,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,96.52,-9.87,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-16.62,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-04T00:10:03,2026-07-03,0,4,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,80.3,-16.62,-6.75,LOW,RAIN,4.64,0,,0,0.0,0.0,53.56,65.0,44.25,-7.75,-24.37,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-04T00:57:18,2026-07-03,0,4,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,83.77,-24.37,-7.75,LOW,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.2,-4.8,-29.17,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-04T01:27:30,2026-07-03,1,4,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,65.4,-29.17,-4.8,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-35.92,SYNTHETIC_DATASET
JRN_20260703_14041,14041,EXPRESS,2026-07-04T02:08:45,2026-07-03,2,4,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,53.35,-35.92,-6.75,LOW,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,57.8,-10.2,-46.12,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T11:15:00,2026-07-03,11,4,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,86.85,-0.22,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-4.42,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T11:41:48,2026-07-03,11,4,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,106.05,-4.42,-4.2,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-10.42,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T12:18:48,2026-07-03,12,4,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,84.92,-10.42,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-17.17,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T13:00:03,2026-07-03,13,4,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,38.46,-17.17,-6.75,LOW,CLEAR,10.0,1,50.0,0,0.0,0.0,53.56,65.0,78.68,26.68,9.51,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T14:21:43,2026-07-03,14,4,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,89.29,9.51,26.68,LOW,CLEAR,10.0,0,,0,0.0,3.8,32.96,40.0,27.2,-4.8,4.71,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T14:51:55,2026-07-03,14,4,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,71.61,4.71,-4.8,LOW,CLEAR,10.0,0,,0,0.0,1.88,46.35,56.25,38.25,-6.75,-2.04,SYNTHETIC_DATASET
JRN_20260703_14309,14309,PASSENGER,2026-07-03T15:33:10,2026-07-03,15,4,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,50.56,-2.04,-6.75,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,68.28,0.28,-1.76,SYNTHETIC_DATASET
JRN_20260704_12017,12017,SHATABDI,2026-07-04T06:45:00,2026-07-04,6,5,1,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,87.76,-0.87,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-5.07,SYNTHETIC_DATASET
JRN_20260704_12017,12017,SHATABDI,2026-07-04T07:11:48,2026-07-04,7,5,1,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,92.47,-5.07,-4.2,LOW,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-11.07,SYNTHETIC_DATASET
